,Product name,Price
0,CVB MATTE BLUE MASKARA LONGLASTING WATERPROOF 10 ml,₹177
1,FASHION COLOUR VOLUME MAX ULTRA CURL MASCARA 8 g,₹180
2,Mars Ultra Curl Long lasting Fabulash Mascara 12 ml,₹132
3,MAYBELLINE NEW YORK Hypercurl Mascara Waterproof 9.2 ml,₹290
4,MAYBELLINE NEW YORK Hypercurl Mascara Washable 9.2 ml,₹272
5,Lakmé Eyeconic Curling Mascara 9 ml,₹276
6,"MAYBELLINE NEW YORK Volume Express Colossal Masacara, W...",₹305
7,L factor 4 Set Skincare infuse Makeup Essentials (Eye-C...,"₹1,883"
8,BLUE HEAVEN Extreme Length Mascara 9 ml,₹91
9,MAYBELLINE NEW YORK Lash Sensational Mascara 10 ml,₹381
10,feelhigh cosmetics professional rainbow real Bold Eye S...,₹139
11,"SERY Xpresslash Volumizing Mascara, M1 6 ml",₹304
12,LOWPRICE Professional rainbow golden real Bold Eye Supe...,₹139
13,L'Oréal Paris Voluminous Lash Paradise 7.6 ml,₹563
14,LOTUS HERBALS MAKE-UP MAXLASH VOLUMISING BOTANICAL WATE...,₹198
15,FASHION COLOUR FC MSCARA 10 g,₹180
16,"MAYBELLINE NEW YORK Volume Express Colossal Mascara, Wa...",₹360
17,Wet n Wild MegaClear Mascara - 8.5 ml,₹163
18,KLEUR Lash Delite Volumizing & Lengthening Mascara 8 g,₹139
19,L factor 2 Makeup essential Set Every day Me 20 ml,"₹1,168"
20,Lakmé Eyeconic Curling Mascara 9 ml,₹275
21,L'Oréal Paris False Lash Superstar Mascara 13 ml,₹479
22,ESSENCE Volume Stylist 18H Curl & Hold Mascara 12 ml,₹241
23,L factor Volum Eyes Water-Proof Mascara 15 ml,₹730
24,Marie Claire Paris Long and Legit Curling Mascara 7 ml,₹199
25,"L'Oréal Paris Voluminous Lash Paradise Mascara, For Lon...","₹1,348"
26,FACES CANADA Ultime Pro HD Whopper Lashes Mascara 12 ml,₹323
27,Lakmé Absolute Flutter Secrets Dramatic Eyes Mascara 8 ...,₹604
28,Lakmé Eyeconic Volume Mascara 8.5 ml,₹340
29,Revlon Water Tight Mascara 8 ml,₹273
30,ESSENCE BYE BYE PANDA EYES! Smudge-Proof Volumizing And...,₹365
31,Iba Halal Care Black N Bold 24 Hr HD Mascara 9 ml,₹364
32,Wet n Wild XXL Lash Mascara 8 ml,₹272
33,Plum Eye-Swear-By Volume Mascara | Lightweight & Builda...,₹386
34,MyGlamm TWIST IT UP MASCARA 10 ml,₹577
35,ESSENCE Volume Stylist 18H Lash Extension Mascara 12 ml,₹243
36,L'Oréal Paris Volume Million Lashes 9.2 ml,₹799
37,FACES CANADA Ultime Pro Heavenly Lashes Mascara 12 g,₹549
38,Revlon So Fierce 7.5 ml,₹999
39,Ruby's Organics Hybrid Mascara 6.5 ml,₹620
